reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at
869e82b7-735e-4615-8518-8afb85b59c18,Tina,"Love this site. I would rate it 5 stars as I have bought so many items here, except there have been additional fees added, so it makes it harder to buy things now. Maybe that will change again.",4,0,8.16.0,2024-11-11 03:05:25
c9145045-c36b-4ce3-93fd-0fe7feba4e12,Katie,"Fees are insane, I had 20 on my account went to buy an item for 68 dollars and my total AFTER I used my 20 was 69 dollars! I ended up paying more anyway!!",1,1,8.24.1,2024-11-11 02:14:55
089ee544-512e-403d-a363-cd978ba5bc95,Julie Cassady,order was received as expected in a timely manner.,5,0,8.24.1,2024-11-11 00:11:16
6e111a29-3429-43f2-85f9-099873b4b2b3,Emily Regan,GREAT APP!! I love to explore all of the different items for sale! I bought a few items and was very pleased with shipping and quality!,5,0,8.24.1,2024-11-10 19:13:50
be858b2d-fd95-4fe5-9537-a6abfd839fd0,Terry K,Excellent buyer,5,0,8.24.1,2024-11-10 19:04:03
a0d99c3d-c1a8-47b2-b0b3-c97e49333d8d,Amanda Austin,great app,5,0,8.21.0,2024-11-10 17:45:03
7e0ea3e3-1d0a-4265-9a64-de49e192b202,Whitney Hart,"After they changed the prices, it impossible to buy through this app. The fees to the buyers are ridiculous. A used nintendo Switch Lite, for example, with one game and a case was 160.00, not bad, but after fees, it topped over 240! For that price you can buy brand new at Walmart plus the games! I deleted the app. When you can buy the same item for cheaper with free shipping, it's not worth your time.",1,3,8.24.1,2024-11-10 17:39:53
04a21633-3ee9-453e-81af-4134af4bfdd1,Daily Embarrassment,Why should the buyer be PUNISHED for using Mercari? Get RID of buyer fees. Make the seller pay!,1,0,8.24.1,2024-11-10 17:06:49
f2bdc793-18a6-4b35-865f-e244a0c8cf28,Idaho Native,There are so many scammers on mecari the scammers are trying to scam the scammers! It's out of this world! Lolol. And mecari does nothing but make it easy for them Every other posting is a phone number to txt to get this for free. Or that for free. Buyers report items weren't in the box so they issue a refund and let them steal it.,1,49,8.23.0,2024-11-10 15:13:16
5b93e0af-cbcc-453e-9981-953e63a17fe9,N R,"The color filter was removed making searching for items even more difficult. If there is more than a few hundred results, it will not show me all the items. When searching for a specific item, I get results that are nothing at all what I was looking for. The new added on fees are ridiculous as well. Service fee, processing fee + shipping and tax - end up paying more than I would like to.",2,3,8.24.1,2024-11-10 15:01:38
43ee0291-7f3f-4189-a10f-7a8e3303dd88,Kevin Zeigler,"Site is no longer of use. Mostly scammers that think they will get their money before items are received by buyers. Orders are canceled within 1 hr of purchasing. Mercari is encouraging scams, and fees are outrageous. They are ignoring sellers that are reported. Better off buying from a legitimate company.",1,0,8.24.1,2024-11-10 12:59:03
d0ffb05e-6114-49bf-b247-80425e39e737,Frances Berumen,The only issue with Marcari are all the extra charges. lI like that you let me know how many days I have to review the item.,5,0,8.24.1,2024-11-10 10:09:31
8bf73be3-56fd-4c86-be12-00da8b80243f,Sam N,Too many fees as a seller you're charged a fee and then 2.00 fee to get your money. Its not worth it not making much money. I'm done selling. Also buying your charged fees. Easier to do other options.,1,0,,2024-11-10 05:03:45
fd889042-77f6-4873-8644-0f343fbcc1c4,Shelsie T.,Great packaging and fast delivery,5,0,8.24.1,2024-11-10 01:14:09
66aa0609-2a0a-40c4-b730-6278a8b9ffe4,M Fu,The site has poor moderation. Several outsourced services make for a frustrating experience as a customer or seller. Ap.fails to notify of messages but always allows marketing notices through like clockwork. Even Ebay is more attentive then Mercari.,2,0,8.24.1,2024-11-10 00:58:53
566ba324-0ac1-41b8-a996-8abed2ae61db,Nicholas Sweet,"Feels like they updated the app just for changes sake-the worst tech reason. favorite items use to be on the bottom of the screen, now it's harder to navigate there so I guess I just won't see them anymore. Instead they put a search button there...when search is already prevalent everywhere.",2,2,8.24.1,2024-11-10 00:54:00
5343bb1d-c535-4d8d-bcd6-2c43dcb47352,Patricia Traut Jacobson,Fees are too high.,3,0,8.24.1,2024-11-10 00:30:09
a2de6b78-b1bd-488c-b9ff-04ce033af146,Yulonda Williams,I enjoy shopping with Mercari they have great items.,5,0,8.24.1,2024-11-09 23:55:09
4a54b7d9-7d1d-4b28-ae61-15dd6ff45708,Sharee O,Seller is great. Items delivered quickly and undamaged.,5,0,8.24.1,2024-11-09 23:49:42
14169cfc-0eb2-40ba-a8d8-9c1da0158d4e,Sam U,"The app is definitely much better than mobile browsing experience (it's more competent as it allows for filtering), but buying experience wasn't what I hoped for. Some sellers were definitely quick to ship stuff out but many seemed to approach things as if selling on etsy or ebay (take a week to just make shipping label). I'd rather use etsy since I've shopped there longest.",3,0,,2024-11-09 23:43:28
90be31de-d127-41ee-bab9-32f839f35e4d,Michelle Devereaux,very friendly through chat.,5,0,8.24.1,2024-11-09 23:40:07
5f416585-9346-41ac-badf-2a85d1237bfb,Dawn Marie Ann Steiger,Be extra careful on the sizes,4,0,8.24.1,2024-11-09 23:03:44
6440f741-5afd-40af-9366-7a6d0800fa79,Jessica James,no issues thus far.,5,0,8.24.1,2024-11-09 22:57:45
e6056839-41b7-4b59-9e05-6602e0323ecb,Craig H,This used to be a great site until they changed their fee structure. Now it is so overpriced. You can get items on other apps much cheaper.,1,1,8.24.1,2024-11-09 22:00:47
667c5dbc-0f9b-47ee-bdbb-17612c63e50e,Anthony Evans,ship quickly. love it love it love it,5,0,8.24.1,2024-11-09 21:11:04
4b7b164c-5163-450f-8171-dd2189e96588,Stacy Bresse,I think Mercari is a wonderful place to find great deals either on brand new or like new items that you are looking to buy at a less expensive price. I would recommend giving them a try if you haven't already you can't go wrong.,5,0,8.24.1,2024-11-09 21:00:24
e8d4c315-1ca0-4c21-97a1-912f2356dfa2,Katelyn “Theresa” Lanza,so much love for this app!! makes selling your items so easy!!,5,0,8.22.0,2024-11-09 20:48:24
cc0ce0e9-1b6f-4df4-b5a1-6f6a230cb622,Ricky,Good,5,0,8.24.1,2024-11-09 20:35:39
2b748660-3d19-4ad1-aa63-c7602675ea14,Justin Barta,"The ability to post a comment on a listing should be removed, since so many users are abusing it without regulation.",3,0,8.24.1,2024-11-09 20:31:11
3e701efa-d108-41fa-8506-20c93f09648d,Jami Thomas,Didn't like it at all,1,0,,2024-11-09 20:22:03
829fa85b-d40a-42ca-9c02-4135270fbb3a,Jose Gonzalez,Ask questions before ordering! Not everyone is honest.,4,0,8.24.1,2024-11-09 20:00:22
2e8499e7-b174-4dfe-955a-08b007d5be2d,Miguel Reyna,"The new fees are outrageous, this used to be a great alternative, buyers beware for the new fees in the checkout and check prices elsewhere before buying from this app.",1,1,8.24.1,2024-11-09 19:13:22
1df09d5d-5b46-45bd-86cb-92b0ca4c0040,Jade Magkasi,really great for neche items,5,0,8.24.1,2024-11-09 16:44:31
fe88ef70-3452-476a-adbb-5d49e18621b3,terrybrass,could be better,3,0,8.24.1,2024-11-09 16:43:01
e3daf69c-3259-4998-9c96-bebaa8f90ef9,Ryn Elle,Was all excited to purchase until I saw a 20 dollar fee? Not using you for any purchases until you remove these ridiculous fees,1,1,,2024-11-09 15:13:07
4a371965-7b71-4cfe-ac02-f9dce115b6bc,Jaz,"It was good for a few items and now it's just not good to sell here. I'll stick to Facebook marketplace. There package insurance program is not good. Also, it looks like now of you're buying you pay a shipping fee and a service fee on top. Even worse than eBay.",3,0,8.20.0,2024-11-09 14:06:51
bfc55efc-c120-4716-9e59-5e4444c80d0b,Sigi C.,"Warning to those of you who are new or coming back to this app, a normal $5 dollar purchase will turn into $15 with shipping, tax, and their new added fee! It's an overcharge hellscape so beware!",1,1,,2024-11-09 08:23:00
7c3dbdb0-2de6-4a5a-a851-510d28875ffd,G M,All they care about is their money no actual communication between buyer and seller is actually allowed. You can only put 10 things in a cart at max and I had 50 or 60 items I wanted to purchase so I tried to copy and paste the information to do it in one bundle and my message was blocked by an admin. Your admin literally cost a shop $50 or more because you wanted to make money off of every 10 items lol Y'all should be investigated cuz that sounds illegal as hell.,1,4,7.94.0,2024-11-09 07:51:58
e229938f-907b-4674-9559-21643da3d39c,private information,love it,5,0,8.23.0,2024-11-09 04:18:09
a760f433-1d73-445d-8280-e762c9ed3d8a,Stanley Green,"I am basically new, and I am having fun right about now.",5,0,8.24.1,2024-11-09 04:04:13
7f8f5658-0280-4584-b790-ff206271be05,Anastasia Rego,"Editing my 2 star to four: While there are still fewer views on my listings, I am selling more than previous updates but the no sellers fees are nice. However when buyers want a cheap price, free shipping, and there's no views, it can be a tough sell. Competition isn't as bad as ebay and yet I still see tons of stolen photos from alien press from dropshippers that glut feeds. There's fast fashion selling for more used than new! But to be fair, it's better than the rest.",4,41,8.24.1,2024-11-09 03:04:17
92060c69-88a5-4a08-8b48-c981832e5c16,James Hiers,I like apples!,5,0,8.24.1,2024-11-09 02:22:22
83986e7d-338c-4364-9add-50b099bfe7b2,Chris Boulanger,I highly recommend!!,5,0,8.24.1,2024-11-09 02:10:41
505cb195-c36e-45ca-8e4c-2ccbc29eba83,Diana Rodriguez,Great place to shop. prices are great and ease of finding products is very user friendly. This is now my new go to for everything I need. I highly recommend mercari.,5,0,8.24.1,2024-11-09 01:53:35
54c7ef8f-1e07-48fd-a4d2-eef53c24a40b,Ryan Chow,"great site to buy things at a discount. easy to use UI, simple and clean. try it!",5,0,8.24.1,2024-11-09 01:34:18
69bd72f7-b113-41e4-814c-0192e63f5fab,Dawn Kenyon Barnes,I love Mercari. I have used them for years and it's been great everything. Thank you!,5,0,8.24.1,2024-11-09 01:23:41
b1e8b782-5c87-4b2a-8d3c-d4679340011d,Joshua Wood,live it,5,0,8.24.1,2024-11-09 00:48:48
853a4bba-00d7-4068-b38d-feb91317e1c0,Lynn Evans,"I have had to cancel 2 orders because of a lack of communication and/ornon- shipment from the sellers. Finally, I had a great experience with one seller.",5,0,8.24.1,2024-11-09 00:43:30
